Id,Label,names,pageranks
256,,Michael C. Thomas,0.00001
6112,,Biology,0.000813
279122,,United States,0.012222
927241,,Master of Science,0.000072
1531504,,Research,0.000313
522,,Meliboeus,0.00001
602,,Buprestidae,0.000019
362517,,Japan,0.003124
577977,,Thailand,0.000924
610154,,Australia,0.003251
727224,,Madagascar,0.000477
842164,,Pine,0.000343
858584,,Exoskeleton,0.000042
896828,,Germany,0.003887
1118496,,India,0.003837
1433764,,Larva,0.000169
1464928,,Species,0.00087
972,,7-Dehydrocholesterol,0.000009
7903,,Ultraviolet,0.000254
1248,,Viroplasm,0.000009
5985,,RNA,0.000402
1513,,X Japan,0.000013
203241,,Vancouver,0.000471
274021,,"Oakland, California",0.000319
309776,,Seattle,0.000546
394836,,Seoul,0.000379
460598,,Peru,0.000766
497562,,Hong Kong,0.001125
950132,,Madison Square Garden,0.000275
978876,,Paris,0.001983
987583,,France,0.004457
1026895,,Piano,0.000596
1060579,,Los Angeles Times,0.001036
1061472,,Hollywood,0.000785
1064311,,DVD,0.00067
1174967,,Los Angeles,0.001633
1178750,,Kiss (band),0.000101
1179036,,Punk rock,0.000506
1179153,,The Beatles,0.000812
1179322,,Compact Disc,0.000238
1179542,,Lollapalooza,0.000081
1179605,,Supergroup (music),0.00009
1179882,,Atlantic Records,0.000257
1179902,,EMI,0.000521
1181014,,Drum kit,0.000425
1184536,,Programming (music),0.000024
1362325,,So Paulo,0.000384
1387256,,Grant Park (Chicago),0.000075
1387565,,Chicago,0.001869
1499696,,Violin,0.000394
1613676,,Toronto,0.001093
1641659,,Buenos Aires,0.000346
1643167,,Argentina,0.001353
1684420,,Mexico,0.001834
1817,,CCR4,0.000009
5909,,Protein,0.000912
5986,,Gene,0.000497
6345,,Immune system,0.000255
1837,,T-box,0.000009
7078,,Heart,0.000147
2114,,Lotaustralin,0.000009
6371,,Glucose,0.000242
2473,,Cortical spreading depression,0.000012
7856,,Potassium,0.000328
1678901,,Aristides Leo,0.000014
3489,,Cis-regulatory module,0.000009
5057,,Operator (biology),0.000011
253188,,Feedback,0.000077
3754,,Jamie White,0.000009
6389,,Cancer,0.000494
376464,,"St. Louis, Missouri",0.000617
1162890,,Danny Bonaduce,0.000019
1184537,,MTV,0.00053
1535280,,"Kansas City, Missouri",0.000308
4343,,4-hydroxyphenylpyruvate oxidase,0.000009
4513,,Chemical reaction,0.000245
7780,,Oxygen,0.000747
4482,,Uridine phosphorylase,0.000009
4500,,Water,0.000735
7777,,Chlorine,0.000245
7847,,Electrolysis,0.000256
7851,,Calcium,0.000354
12453,,Wastewater,0.000081
12456,,Sewage treatment,0.000085
43344,,Islam,0.002282
55116,,Bible,0.000924
119820,,Atlantic Ocean,0.001254
173837,,Aqueduct,0.000222
227544,,Ice hockey,0.001285
276209,,Stream,0.000127
408761,,Aquifer,0.000113
503953,,Desert,0.000308
511661,,Fish,0.000651
511777,,Red Sea,0.000271
512395,,Tide,0.000154
579212,,Singapore,0.001106
777573,,Rotterdam,0.00028
846596,,Plant,0.000855
866385,,Sun,0.000562
867493,,Earth,0.001247
926275,,NASA,0.000847
1039672,,Hamlet,0.000306
1062707,,Time (magazine),0.001318
1089353,,Density,0.000326
1090959,,Atom,0.000383
1233963,,Agriculture,0.001224
1234087,,Water pollution,0.000286
1235076,,Oceanography,0.000179
1235091,,Phytoplankton,0.00007
1283944,,Sea level,0.00026
1283958,,Drainage basin,0.000501
1537348,,University of Washington,0.000123
1576642,,Sri Lanka,0.000678
1609236,,Montreal,0.000849
1650263,,Sugar,0.000394
1655802,,China,0.00243
1680965,,Atmosphere,0.000225
1681117,,Fog,0.000073
5764,,Amino acid,0.000527
6613,,Biochemistry,0.000338
7287,,Urea,0.000169
10198,,Cistrans isomerism,0.000026
15388,,Metal,0.000315
1091039,,Entropy,0.000222
1091058,,Electron,0.000369
1093351,,Potential energy surface,0.000026
4569,,D-mannitol oxidase,0.000009
5972,,Transcription (genetics),0.000222
5343,,Bipolar disorder,0.000126
6341,,HIV,0.000492
8819,,Dopamine,0.000127
9227,,Food and Drug Administration,0.00009
9638,,Medical diagnosis,0.000062
11853,,Cognitive behavioral therapy,0.00006
171130,,Mythology,0.000172
174556,,Ancient Rome,0.00173
321940,,The CW,0.000152
405866,,Acadmie Nationale de Mdecine,0.000018
457043,,Linguistics,0.000655
535544,,Oxford University Press,0.002766
1036186,,Channel 4,0.000727
1039346,,BBC,0.003486
1059368,,The Mosquito Coast,0.000023
5384,,Neuron,0.000215
5400,,Axon,0.000071
6296,,Stem cell,0.000192
5448,,Motor neurone disease,0.00003
117810,,Guam,0.00041
386816,,Lou Gehrig,0.000084
386893,,Baseball,0.001018
518025,,Papua New Guinea,0.000335
5604,,Bacterial capsule,0.000009
6754,,Vaccination,0.000159
5610,,Phosphate reaction,0.000009
5698,,Oxidative phosphorylation,0.000033
6295,,Catabolism,0.000045
6788,,Human,0.000739
5630,,Active transport,0.000021
6340,,Malaria,0.00042
7862,,Copper,0.0008
8000,,Pesticide,0.000202
8412,,Rotenone,0.000047
9303,,Choline,0.000027
9369,,Disease,0.000325
503698,,NADH dehydrogenase,0.000019
504503,,Hibernation,0.000013
1090200,,Arthur Harden,0.000011
1104695,,John Wiley & Sons,0.00029
1537760,,"University of California, Berkeley",0.000429
5709,,Liposome,0.000029
5742,,Industrial fermentation,0.000009
1650273,,Soybean,0.000183
5753,,Small molecule,0.000071
5803,,Tryptophan,0.000086
7399,,Carboxylic acid,0.000099
7779,,Nitrogen,0.000489
9931,,Racemic mixture,0.00005
12569,,Lantibiotics,0.000041
5765,,Protein domain,0.00003
5768,,Protein folding,0.000085
1095715,,List of software for molecular mechanics modeling,0.000049
5800,,Protein (nutrient),0.000044
9358,,Death,0.00024
727232,,Cornell University,0.000362
1168805,,Famine,0.000309
1233966,,Overpopulation,0.00023
1652326,,Shellfish,0.000083
6379,,Hormone,0.000167
60219,,Christmas,0.000594
1537762,,University of Arizona,0.000161
1650270,,Poultry,0.00017
5866,,Meiosis,0.000158
5998,,Genome,0.000297
6273,,Virus,0.000346
6314,,B cell,0.0001
7911,,Chromatography,0.000123
11698,,Cryo-electron microscopy,0.000058
68919,,Dihedral angle,0.000045
1091108,,Quantum mechanics,0.000542
1091171,,Spectroscopy,0.000164
5930,,Artificial gene synthesis,0.000024
6463,,Science (journal),0.000565
1184538,,The Guardian,0.002063
5935,,DNA sequencing,0.000034
8434,,Medical Research Council (UK),0.000055
459249,,Belgium,0.001387
1093692,,California Institute of Technology,0.000133
1409704,,Harvard University,0.001212
1529299,,University of Cambridge,0.000697
5955,,LSm,0.000009
5958,,Retrovirus,0.000144
6225,,Capsid,0.000066
6580,,Embryo,0.000155
8308,,AIDS,0.000638
6107,,Developmental biology,0.000189
254651,,Data,0.000214
346549,,Denmark,0.001133
843526,,Hybrid (biology),0.000216
1079818,,Charles Darwin,0.000543
727233,,Rice,0.000535
843694,,Rhizome,0.000088
845237,,Flowering plant,0.000435
6059,,Fluorescence in situ hybridization,0.000009
6074,,Cloning,0.000143
64874,,Ethics,0.000361
67073,,Liberalism,0.000488
462585,,Victoria (Australia),0.000381
465829,,New South Wales,0.000649
503695,,Rat,0.000076
511733,,Cattle,0.000238
519419,,Philippines,0.001291
843414,,Shrub,0.000138
1161210,,CNN,0.00099
1169041,,Soviet Union,0.002847
1563783,,Horse,0.000185
6120,,Regeneration (biology),0.000046
8496,,Anatomy,0.000181
511635,,Body plan,0.000055
6182,,Population genetics,0.00016
7885,,Plant physiology,0.000029
8504,,Pathology,0.000076
25445,,Common descent,0.000058
60349,,Middle Ages,0.002272
66725,,Psychology,0.00058
509406,,Timeline of evolution,0.000066
598215,,Sociology,0.000569
647870,,Impact factor,0.000195
648814,,Public Library of Science,0.00007
824590,,Essay,0.000144
833261,,Habitat,0.000199
1168735,,Egypt,0.00186
1234559,,Ecology,0.000276
9479,,Myocardial infarction,0.000202
509544,,Anatomical terms of location,0.000052
544110,,University of Leeds,0.000051
65796,,University of Chicago Press,0.00041
504575,,Donkey,0.000121
1457593,,Russia,0.002594
1537128,,Yale University,0.000985
6197,,Medical biology,0.000009
1102165,,Sphere,0.000157
6264,,Phage therapy,0.000025
6584,,Biofilm,0.000026
9371,,Meningitis,0.000132
19440,,Cold War,0.001562
121347,,World War II,0.006654
164045,,Georgia (country),0.000468
1337998,,Patent,0.000365
6735,,Smallpox,0.000529
6752,,Mumps,0.000046
6838,,Hepatocellular carcinoma,0.000077
6907,,Cervix,0.000049
8311,,Sexual intercourse,0.000179
8740,,Zidovudine,0.000021
9216,,Chronic fatigue syndrome,0.000027
11095,,Nucleoprotein,0.00002
11891,,Psychiatry,0.000191
68969,,Hexagon,0.000076
279118,,Population density,0.000783
6275,,DNA vaccination,0.000018
6760,,Diphtheria,0.00004
59751,,Translation,0.00023
6290,,NF-B,0.000026
8961,,Cocaine,0.000279
853553,,Moth,0.000179
1039337,,The Daily Telegraph,0.00095
1108353,,Holy See,0.000627
1205354,,Roman Catholic,0.001412
9155,,Permethrin,0.00002
9364,,Dengue fever,0.000037
10051,,Shivering,0.00002
32787,,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",0.000021
36896,,Charles Louis Alphonse Laveran,0.00002
121348,,World War I,0.003975
172893,,Roman Empire,0.002558
244646,,Massachusetts,0.001161
833394,,Endemism,0.000575
1090227,,Imperial College London,0.000129
1118620,,Kolkata,0.000273
1161029,,Vietnam,0.000997
1168717,,Cuba,0.001119
1168760,,Panama,0.000449
1190387,,Cambodia,0.000522
1232167,,Havana,0.000258
1362343,,Brazil,0.0021
1441393,,Indonesia,0.001367
1655582,,People's Republic of China,0.002035
8220,,Tattoo,0.000122
8306,,Sexually transmitted disease,0.000075
117480,,San Francisco,0.001084
244859,,Boston,0.001211
303904,,New York,0.002213
504001,,Chimpanzee,0.000189
1168723,,Haiti,0.000356
1168803,,World Bank Group,0.000128
1168966,,Colonialism,0.000399
1383396,,South Africa,0.001409
1508471,,Prostitution,0.000229
9561,,Ciclosporin,0.000019
9566,,Obesity,0.000256
10233,,Plant disease resistance,0.000026
171354,,Thucydides,0.000235
512159,,Invertebrate,0.000219
1537748,,University of South Carolina,0.000055
7765,,Chemistry,0.00077
6377,,Reference ranges for blood tests,0.00003
1168684,,Drunk driving law by country,0.000012
9728,,Excretion,0.000058
7522,,Benzene,0.000076
9327,,Journal of the American Medical Association,0.000099
9576,,List of oncology-related terms,0.000024
9600,,Mesothelioma,0.000025
20692,,Quartz,0.000287
36453,,Jonathan K. Pritchard,0.000028
255116,,Mobile phone,0.000396
457162,,Euphemism,0.000131
824241,,Susan Sontag,0.000066
824431,,Harper's Magazine,0.00013
1090900,,Marie Curie,0.00006
1094785,,Fracture,0.000041
8953,,MDMA,0.000069
35367,,"Daniel E. Koshland, Jr.",0.000052
148256,,Prince of Asturias Awards,0.000067
647862,,Peer review,0.00023
697817,,Technology,0.000645
926225,,Apollo program,0.000432
1092009,,Albert Einstein,0.000957
6516,,Timeline of immunology,0.000009
8506,,Ian Frazer,0.00001
12285,,Ernst Haeckel,0.000125
512250,,Friedrich Gustav Jakob Henle,0.00001
6908,,Uterus,0.000094
112005,,Education,0.000838
6733,,Globalization and disease,0.000009
8269,,Bacillus,0.000009
9271,,Tetracycline,0.000009
98332,,Italy,0.003467
171671,,Alexander the Great,0.000651
172260,,Sicily,0.000678
230038,,Canada,0.004163
446994,,Spain,0.002467
802740,,Hungary,0.00112
1205255,,Switzerland,0.001583
1400304,,African American,0.001054
1403656,,Slavery,0.000706
9591,,Arthritis,0.000188
60025,,Old Testament,0.000591
198674,,Stockholm,0.000672
367025,,Ottoman Empire,0.001758
433392,,Somalia,0.000392
541013,,United Kingdom,0.006688
832501,,Bangladesh,0.000709
1144127,,Edward VI of England,0.000156
1144131,,Henry VIII of England,0.00053
1144380,,Mary II of England,0.000133
1144495,,William III of England,0.000247
1168887,,Spanish Empire,0.000537
1400235,,Andrew Jackson,0.000347
1401970,,George Washington,0.000847
1406694,,Abraham Lincoln,0.000719
1441412,,Dutch East Indies,0.000313
1655806,,Qing Dynasty,0.000447
1785745,,Louis XV of France,0.000137
8599,,Male,0.000085
11876,,Mental health,0.000208
55118,,God,0.000856
59347,,Divinity,0.00007
64866,,Metaphysics,0.000387
64873,,Philosophy,0.001115
64912,,Humanism,0.00032
64930,,Consciousness,0.000082
65159,,Spirit,0.000068
66727,,Self-awareness,0.000019
66834,,Family,0.000201
237140,,White,0.000119
279115,,United States Census Bureau,0.00118
364684,,Portuguese language,0.000762
367026,,Istanbul,0.000655
396694,,Korean language,0.000414
404418,,Tehran,0.000241
456246,,Russian language,0.000896
457097,,Language,0.000646
485336,,E. O. Wilson,0.000064
491006,,Osaka,0.000261
492663,,Moscow,0.000841
519323,,Manila,0.000233
581813,,Mumbai,0.00064
587595,,Telugu language,0.00032
598911,,Communism,0.000674
681781,,Antarctica,0.000572
822844,,Non-fiction,0.000099
832256,,Bengali language,0.000228
847351,,Carl Linnaeus,0.000222
915382,,Mass production,0.000135
926288,,International Space Station,0.000325
977618,,Art,0.00054
978668,,Art history,0.000193
1055792,,English language,0.004346
1094447,,Tool,0.000128
1117591,,Punjabi language,0.000291
1118845,,Urdu,0.000467
1167668,,Racism,0.000319
1205348,,German language,0.00204
1205356,,French language,0.00196
1362324,,Rio de Janeiro,0.000416
1398130,,Law,0.000698
1441480,,Indonesian language,0.000223
1441507,,Javanese language,0.000127
1455774,,Spanish language,0.001588
1716289,,Economics,0.000744
1728090,,Internet,0.001456
386818,,Mickey Mantle,0.000085
894387,,East Germany,0.000848
6839,,Calculus (medicine),0.000009
6846,,Duodenum,0.000027
1177081,,Frank Zappa,0.000202
6868,,Myometrium,0.000017
