Id,Label,names,pageranks
894,,2009 flu pandemic,0.000015
5909,,Protein,0.000702
6724,,Centers for Disease Control and Prevention,0.000237
6730,,Measles,0.000179
6745,,Pandemic,0.000186
8484,,Neurology,0.000124
8498,,Pediatrics,0.00006
9327,,Journal of the American Medical Association,0.00004
42737,,Mecca,0.0003
49755,,Israel,0.002113
335131,,Georgia (U.S. state),0.000847
1039342,,Daily Mail,0.000582
1060579,,Los Angeles Times,0.000936
1064129,,Slate (magazine),0.000264
1114192,,Cathay Pacific,0.000088
1161209,,MSNBC,0.000448
1161210,,CNN,0.000912
1168735,,Egypt,0.00187
1400547,,Barack Obama,0.001577
1441393,,Indonesia,0.001206
1338,,Nogod,0.000009
362517,,Japan,0.003092
363415,,Tokyo,0.000645
1179890,,Guitar,0.000593
1181014,,Drum kit,0.000399
1186372,,Oricon,0.000052
1440,,Janne Da Arc,0.000009
1743933,,Anime,0.000466
1448,,Bara no Konrei ~Mayonaka ni Kawashita Yakusoku~,0.000009
1055792,,English language,0.00432
1070820,,Japanese language,0.000424
1268266,,Silent film,0.000222
1742697,,Science Ninja Team Gatchaman,0.00001
2250,,Erratum,0.00001
59877,,Book,0.000274
2378,,Blindsight,0.000009
1175077,,BBC News,0.001296
2500,,Mismatch negativity,0.000009
66725,,Psychology,0.000774
2534,,"Simon Cairns, 6th Earl Cairns",0.000009
537541,,"Trinity College, Cambridge",0.000319
537580,,Eton College,0.000427
1394526,,Order of the British Empire,0.000449
3555,,RIP-Chip,0.000009
5985,,RNA,0.000336
3752,,Cremasteric reflex,0.000009
5384,,Neuron,0.000143
3902,,Euphorbia serpyllifolia,0.000009
230038,,Canada,0.004081
280225,,Native Americans in the United States,0.001016
844528,,Inflorescence,0.000418
845238,,Eudicots,0.000232
846596,,Plant,0.000649
847583,,Baja California,0.000103
1684420,,Mexico,0.001679
4500,,Water,0.000661
4513,,Chemical reaction,0.000267
6112,,Biology,0.000794
6161,,Microbiology,0.000138
6283,,Metabolism,0.00034
7519,,Organic compound,0.000198
7758,,Solution,0.00007
7777,,Chlorine,0.000346
7778,,Hydrogen,0.000707
7839,,Evaporation,0.000149
7847,,Electrolysis,0.000179
8083,,Oil,0.000135
9664,,Dehydration,0.000178
12459,,Sanitation,0.000228
15415,,Zirconium,0.000078
15554,,Chernobyl disaster,0.000096
37620,,Volcano,0.000452
41728,,Wicca,0.000051
43344,,Islam,0.002398
60140,,Baptism,0.000518
67082,,Politics,0.000638
118537,,Hydrography,0.000056
119820,,Atlantic Ocean,0.001353
179246,,Der Spiegel,0.000178
227544,,Ice hockey,0.001131
406098,,Soil,0.000381
471898,,Mesopotamia,0.00088
497562,,Hong Kong,0.001205
503953,,Desert,0.00038
511661,,Fish,0.000508
511777,,Red Sea,0.000268
512182,,Intertidal zone,0.00002
579212,,Singapore,0.001142
777573,,Rotterdam,0.000287
824199,,William Faulkner,0.000196
833241,,River,0.000295
845254,,Vegetation,0.000102
847261,,Drought,0.000384
866385,,Sun,0.000489
867493,,Earth,0.000904
978876,,Paris,0.001983
987583,,France,0.00481
1039672,,Hamlet,0.000187
1062707,,Time (magazine),0.001164
1089048,,Fire (classical element),0.000128
1089365,,Gas,0.000337
1101327,,Cambridge University Press,0.001985
1167997,,United Nations,0.003012
1167999,,UNESCO,0.001664
1232961,,Sediment transport,0.000055
1233030,,Deposition (geology),0.000054
1233797,,Surface runoff,0.000081
1283958,,Drainage basin,0.000446
1303550,,Atmosphere of Venus,0.00002
1387565,,Chicago,0.001786
1537348,,University of Washington,0.000155
1609236,,Montreal,0.000957
1641659,,Buenos Aires,0.000336
1644058,,Coal,0.000484
1655802,,China,0.002188
1680973,,Meteorology,0.000123
6279,,Cell (biology),0.000392
7422,,Reaction mechanism,0.000074
7698,,Carbon monoxide,0.00031
7700,,Catalytic reforming,0.000023
7711,,Acid dissociation constant,0.000051
7760,,Hydrochloric acid,0.000192
7772,,Electrochemistry,0.000073
7773,,Redox,0.000345
15371,,Aluminium,0.000314
60904,,Alchemy,0.000192
1090947,,Temperature,0.000459
1091781,,Isaac Newton,0.000734
4800,,Doctor of Medicine,0.000139
8518,,Physician,0.000294
8527,,American Medical Association,0.000112
22629,,Kenya,0.0005
45884,,Al-Andalus,0.000415
98332,,Italy,0.00338
168957,,Greece,0.001622
187620,,Ireland,0.001702
279122,,United States,0.01367
367035,,Turkey,0.001809
442007,,Pakistan,0.001491
471280,,Baghdad,0.000632
541013,,United Kingdom,0.006534
568995,,Colombia,0.000697
825703,,Columbia University,0.000781
896828,,Germany,0.003885
1118496,,India,0.003922
1313468,,Poland,0.001992
1529299,,University of Cambridge,0.000951
1643167,,Argentina,0.001208
5341,,Electroconvulsive therapy,0.000024
6334,,Fetus,0.0001
148946,,Medical ethics,0.000067
303904,,New York,0.002135
610154,,Australia,0.003507
639652,,Oz (TV series),0.000032
1063256,,Newsweek,0.00056
1091258,,Nobel Prize,0.00102
1163126,,Baywatch,0.000031
1164043,,Quantum Leap (TV series),0.000025
1397314,,Mental Health Act 1983,0.000034
5359,,Neuropeptide,0.000009
5998,,Genome,0.000335
1124096,,Soma,0.000078
5378,,Traumatic brain injury,0.000081
